snapshot_id,name,created_at,slot_id,n_agents,repeat_count,model_provider,model_name,support,oppose,neutral,support_mean,support_stddev,oppose_mean,oppose_stddev,neutral_mean,neutral_stddev,row_type,run_index,agent_id,age,age_group,gender,province,district,region,region_group,job,occupation,family_type,model,status,axis,category,label,stance,rationale,blind_spot,blind_spot_reason,grounding,affected_group,expected_complaint,reframing,age_band,occupation_stratum,household_stratum,housing_stratum,education_stratum,field_stratum,classification_source,presence,blind_spot_headcount,category_population,agent_ids,text,message,content,raw_output,policy,json_payload
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"국민연금 보험료율 인상 (더 내고 더 받기)

국민연금 보험료율을 현행 9%에서 13%로 단계적으로 인상한다. 동시에 소득대체율도 40%에서 43%로 올려 노후에 받는 금액을 높인다. 보험료 인상은 향후 수년에 걸쳐 매년 0.5%p씩 올리며, 직장인은 절반을 회사가 부담하고 나머지 절반은 본인이 낸다. 자영업자·지역가입자는 인상분 전액을 본인이 부담한다.",
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,slot_config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"국민연금 보험료율 인상 (더 내고 더 받기)

국민연금 보험료율을 현행 9%에서 13%로 단계적으로 인상한다. 동시에 소득대체율도 40%에서 43%로 올려 노후에 받는 금액을 높인다. 보험료 인상은 향후 수년에 걸쳐 매년 0.5%p씩 올리며, 직장인은 절반을 회사가 부담하고 나머지 절반은 본인이 낸다. 자영업자·지역가입자는 인상분 전액을 본인이 부담한다.",
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan,,,,,,,,,,,,,,,,uniform_random,,,,,,,,,,,,,,,,,,,,,,,,,,"{""mode"":""uniform_random"",""n_agents"":30,""axes"":[""age_group"",""region_group"",""gender""],""total_records"":1000000,""cells"":[{""age_group"":""30s"",""region_group"":""capital"",""gender"":""female"",""sampled"":2,""proportion"":0.06666666666666667},{""age_group"":""30s"",""region_group"":""capital"",""gender"":""male"",""sampled"":1,""proportion"":0.03333333333333333},{""age_group"":""30s"",""region_group"":""chungcheong"",""gender"":""female"",""sampled"":1,""proportion"":0.03333333333333333},{""age_group"":""30s"",""region_group"":""chungcheong"",""gender"":""male"",""sampled"":2,""proportion"":0.06666666666666667},{""age_group"":""30s"",""region_group"":""yeongnam"",""gender"":""female"",""sampled"":2,""proportion"":0.06666666666666667},{""age_group"":""40s"",""region_group"":""capital"",""gender"":""female"",""sampled"":1,""proportion"":0.03333333333333333},{""age_group"":""40s"",""region_group"":""capital"",""gender"":""male"",""sampled"":3,""proportion"":0.1},{""age_group"":""40s"",""region_group"":""honam"",""gender"":""male"",""sampled"":2,""proportion"":0.06666666666666667},{""age_group"":""50s"",""region_group"":""capital"",""gender"":""female"",""sampled"":3,""proportion"":0.1},{""age_group"":""50s"",""region_group"":""yeongnam"",""gender"":""female"",""sampled"":2,""proportion"":0.06666666666666667},{""age_group"":""60s"",""region_group"":""capital"",""gender"":""female"",""sampled"":2,""proportion"":0.06666666666666667},{""age_group"":""60s"",""region_group"":""capital"",""gender"":""male"",""sampled"":1,""proportion"":0.03333333333333333},{""age_group"":""60s"",""region_group"":""honam"",""gender"":""female"",""sampled"":3,""proportion"":0.1},{""age_group"":""60s"",""region_group"":""yeongnam"",""gender"":""female"",""sampled"":2,""proportion"":0.06666666666666667},{""age_group"":""70_plus"",""region_group"":""capital"",""gender"":""female"",""sampled"":1,""proportion"":0.03333333333333333},{""age_group"":""70_plus"",""region_group"":""chungcheong"",""gender"":""male"",""sampled"":1,""proportion"":0.03333333333333333},{""age_group"":""70_plus"",""region_group"":""honam"",""gender"":""female"",""sampled"":1,""proportion"":0.03333333333333333}]}"
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan_cell,,,,30s,female,,,,capital,,,,,,,30s/capital/female,,,,,,,,,,,,,,,,,,2,,,,,,,,"{""age_group"":""30s"",""region_group"":""capital"",""gender"":""female"",""sampled"":2,""proportion"":0.06666666666666667}"
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan_cell,,,,30s,male,,,,capital,,,,,,,30s/capital/male,,,,,,,,,,,,,,,,,,1,,,,,,,,"{""age_group"":""30s"",""region_group"":""capital"",""gender"":""male"",""sampled"":1,""proportion"":0.03333333333333333}"
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan_cell,,,,30s,female,,,,chungcheong,,,,,,,30s/chungcheong/female,,,,,,,,,,,,,,,,,,1,,,,,,,,"{""age_group"":""30s"",""region_group"":""chungcheong"",""gender"":""female"",""sampled"":1,""proportion"":0.03333333333333333}"
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan_cell,,,,30s,male,,,,chungcheong,,,,,,,30s/chungcheong/male,,,,,,,,,,,,,,,,,,2,,,,,,,,"{""age_group"":""30s"",""region_group"":""chungcheong"",""gender"":""male"",""sampled"":2,""proportion"":0.06666666666666667}"
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan_cell,,,,30s,female,,,,yeongnam,,,,,,,30s/yeongnam/female,,,,,,,,,,,,,,,,,,2,,,,,,,,"{""age_group"":""30s"",""region_group"":""yeongnam"",""gender"":""female"",""sampled"":2,""proportion"":0.06666666666666667}"
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan_cell,,,,40s,female,,,,capital,,,,,,,40s/capital/female,,,,,,,,,,,,,,,,,,1,,,,,,,,"{""age_group"":""40s"",""region_group"":""capital"",""gender"":""female"",""sampled"":1,""proportion"":0.03333333333333333}"
current,국민연금,2026-06-04T05:36:07.984Z,A,30,1,openai,gpt-5-mini,23,6,1,,,,,,,sampling_plan_cell,,,,40s,male,,,,capital,,,,,,,40s/capital/male,,,,,,,,,,,,,,,,,,3,,,,,,,,"{""age_group"":""40s"",""region_group"":""capital"",""gender"":""male"",""sampled"":3,""proportion"":0.1}"
